site;title;company;date_posted;job_type;skills;level;job_group;workplace;city;state;country;city_state;experience;education;programming_languages;languages
linkedin;BI Engineer (Lima);Qualifacts;26/02/2026;fulltime;Python, SQL, Looker, Excel, Power BI;Mid-Level;Data Analyst;On Site;Lima;LIM;PE;Lima, Peru;3;Bachelor;;Spanish
linkedin;Analista de Tiempo Real;Corporación Educativa USIL;22/02/2026;fulltime;Excel,SQL,Power BI,Data Visualization;Senior;Data Analyst;On Site;La Molina;LIM;PE;La Molina, Peru;0;Bachelor;;Spanish
linkedin;Ingeniero de Datos;Tottus;22/02/2026;fulltime;SQL,Excel,Power BI,Data Visualization;Mid-Level;Data Engineer;On Site;Lima;LIM;PE;Lima, Peru;0;Bachelor;Python, SQL;Spanish
linkedin;QE Lead (Lima);Qualifacts;22/02/2026;fulltime;SQL, Power BI, Python;Mid-Level;Data Analyst;Hybrid;Lima;LIM;PE;Lima, Peru;6;Bachelor;;Spanish, English
linkedin;Head de Analytics & Research;Empresa Confidencial;20/02/2026;fulltime;Power BI, Google Sheets, Excel, Jira;Mid-Level;Data Analyst;On Site;Lima;LIM;PE;Lima, Peru;4;Bachelor;;Spanish
linkedin;Data Modeler;Encora Inc.;18/02/2026;fulltime;Power BI, Google Sheets, Excel, Jira;Mid-Level;Business Intelligence;Remote;Lima;LIM;PE;Lima, Peru;3;Bachelor;;English
linkedin;Analista de Business Intelligence;Industrias San Miguel;17/02/2026;fulltime;Power BI, Google Sheets, Excel, Jira;Lead;Business Intelligence;On Site;Santiago de Surco;LIM;PE;Santiago de Surco, Peru;1;Bachelor;;Spanish
linkedin;Analista de Business Intelligence (BI) // BI Engineer;Bitel;17/02/2026;fulltime;Excel,SQL,Power BI,Data Visualization;Mid-Level;Data Analyst;Remote;San Isidro;LIM;PE;San Isidro, Peru;0;Bachelor;;English
linkedin;Analista de base de datos para call center de cobranza + planilla completa;CLASA NET S.A.;13/02/2026;fulltime;Excel,  MBA, Master;Mid-Level;Data Analyst;Remote;Magdalena del Mar;LIM;PE;Magdalena del Mar, Peru;2;Bachelor;;English
linkedin;Asistente de business intelligence Junior;La número 1;11/02/2026;fulltime;Power BI, Looker;Mid-Level;Data Analyst;Remote;La Victoria;LIM;PE;La Victoria, Peru;1;Bachelor;SQL;English
linkedin;SAP-Azure Data Engineer;Agentic Dream;8/02/2026;fulltime;Azure, SQL, Databricks, GitHub;Mid-Level;Data Analyst;Remote;Lima;LIM;PE;Lima, Peru;0;Bachelor;Python, SQL;English
linkedin;Senior SRE Engineer (Temporary Contract);Applaudo;9/02/2026;fulltime;Python, Spark, SQL, Excel, Power BI, Azure, Databricks;Mid-Level;Data Analyst;Remote;Lima;LIM;PE;Lima, Peru;0;Bachelor;;English
